CODE,NAME,LEVEL,PARENT_CODE,STATUS
370200,青岛市,2,370000,1
370300,淄博市,2,370000,1
370400,枣庄市,2,370000,1
370500,东营市,2,370000,1
370600,烟台市,2,370000,1
370700,潍坊市,2,370000,1
370800,济宁市,2,370000,1
370900,泰安市,2,370000,1
371000,威海市,2,370000,1
371100,日照市,2,370000,1
371300,临沂市,2,370000,1
371400,德州市,2,370000,1
371500,聊城市,2,370000,1
371600,滨州市,2,370000,1
371700,菏泽市,2,370000,1
370102,历下区,3,370100,1
370103,市中区,3,370100,1
370104,槐荫区,3,370100,1
370105,天桥区,3,370100,1
370112,历城区,3,370100,1
370113,长清区,3,370100,1
370114,章丘区,3,370100,1
370115,济阳区,3,370100,1
370116,莱芜区,3,370100,1
370117,钢城区,3,370100,1
370124,平阴县,3,370100,1
370126,商河县,3,370100,1
370202,市南区,3,370200,1
370203,市北区,3,370200,1
370211,黄岛区,3,370200,1
370212,崂山区,3,370200,1
370213,李沧区,3,370200,1
370214,城阳区,3,370200,1
370215,即墨区,3,370200,1
370281,胶州市,3,370200,1
370283,平度市,3,370200,1
370285,莱西市,3,370200,1
370302,淄川区,3,370300,1
370303,张店区,3,370300,1
370304,博山区,3,370300,1
370305,临淄区,3,370300,1
370306,周村区,3,370300,1
370321,桓台县,3,370300,1
370322,高青县,3,370300,1
370323,沂源县,3,370300,1
370402,市中区,3,370400,1
370403,薛城区,3,370400,1
370404,峄城区,3,370400,1
370405,台儿庄区,3,370400,1
370406,山亭区,3,370400,1
370481,滕州市,3,370400,1
370502,东营区,3,370500,1
370503,河口区,3,370500,1
370505,垦利区,3,370500,1
370522,利津县,3,370500,1
370523,广饶县,3,370500,1
370602,芝罘区,3,370600,1
370611,福山区,3,370600,1
370612,牟平区,3,370600,1
370613,莱山区,3,370600,1
370614,蓬莱区,3,370600,1
370681,龙口市,3,370600,1
370682,莱阳市,3,370600,1
370683,莱州市,3,370600,1
370685,招远市,3,370600,1
370686,栖霞市,3,370600,1
370687,海阳市,3,370600,1
370702,潍城区,3,370700,1
370703,寒亭区,3,370700,1
370704,坊子区,3,370700,1
370705,奎文区,3,370700,1
370724,临朐县,3,370700,1
370725,昌乐县,3,370700,1
370781,青州市,3,370700,1
370782,诸城市,3,370700,1
370783,寿光市,3,370700,1
370784,安丘市,3,370700,1
370785,高密市,3,370700,1
370786,昌邑市,3,370700,1
370811,任城区,3,370800,1
370812,兖州区,3,370800,1
370826,微山县,3,370800,1
370827,鱼台县,3,370800,1
370828,金乡县,3,370800,1
370829,嘉祥县,3,370800,1
370830,汶上县,3,370800,1
370831,泗水县,3,370800,1
370832,梁山县,3,370800,1
370881,曲阜市,3,370800,1
370883,邹城市,3,370800,1
370902,泰山区,3,370900,1
370911,岱岳区,3,370900,1
370921,宁阳县,3,370900,1
370923,东平县,3,370900,1
370982,新泰市,3,370900,1
370983,肥城市,3,370900,1
371002,环翠区,3,371000,1
371003,文登区,3,371000,1
371082,荣成市,3,371000,1
371083,乳山市,3,371000,1
371102,东港区,3,371100,1
371103,岚山区,3,371100,1
371121,五莲县,3,371100,1
371122,莒县,3,371100,1
371302,兰山区,3,371300,1
371311,罗庄区,3,371300,1
371312,河东区,3,371300,1
371321,沂南县,3,371300,1
371322,郯城县,3,371300,1
371323,沂水县,3,371300,1
371324,兰陵县,3,371300,1
371325,费县,3,371300,1
371326,平邑县,3,371300,1
371327,莒南县,3,371300,1
371328,蒙阴县,3,371300,1
371329,临沭县,3,371300,1
371402,德城区,3,371400,1
371403,陵城区,3,371400,1
371422,宁津县,3,371400,1
371423,庆云县,3,371400,1
371424,临邑县,3,371400,1
371425,齐河县,3,371400,1
371426,平原县,3,371400,1
371427,夏津县,3,371400,1
371428,武城县,3,371400,1
371481,乐陵市,3,371400,1
371482,禹城市,3,371400,1
371502,东昌府区,3,371500,1
371503,茌平区,3,371500,1
371521,阳谷县,3,371500,1
371522,莘县,3,371500,1
371524,东阿县,3,371500,1
371525,冠县,3,371500,1
371526,高唐县,3,371500,1
371581,临清市,3,371500,1
371602,滨城区,3,371600,1
371603,沾化区,3,371600,1
371621,惠民县,3,371600,1
371622,阳信县,3,371600,1
371623,无棣县,3,371600,1
371625,博兴县,3,371600,1
371681,邹平市,3,371600,1
371702,牡丹区,3,371700,1
371703,定陶区,3,371700,1
371721,曹县,3,371700,1
371722,单县,3,371700,1
371723,成武县,3,371700,1
371724,巨野县,3,371700,1
371725,郓城县,3,371700,1
371726,鄄城县,3,371700,1
371728,东明县,3,371700,1
